node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius length R G B time type 
3 102 8 1.2384 0.8465 -3.3091 1.9805 0.2057 -3.1139 0.0517 0.9998 238.0000 23.8000 0.0000 7.5724 2.0000 
102 103 8 1.9805 0.2057 -3.1139 2.6973 -0.4581 -2.9033 0.0517 0.9994 238.0000 23.8000 0.0000 9.0950 2.0000 
103 104 8 2.6973 -0.4581 -2.9033 3.4259 -1.1202 -2.7747 0.0517 0.9929 238.0000 23.8000 0.0000 10.7745 2.0000 
104 105 8 3.4259 -1.1202 -2.7747 4.1510 -1.7946 -2.6408 0.0517 0.9993 238.0000 23.8000 0.0000 12.6482 2.0000 
105 106 8 4.1510 -1.7946 -2.6408 4.9175 -2.4117 -2.4807 0.0517 0.9969 238.0000 23.8000 0.0000 14.7670 2.0000 
106 107 8 4.9175 -2.4117 -2.4807 5.7070 -2.9963 -2.3015 0.0517 0.9986 238.0000 23.8000 0.0000 17.2055 2.0000 
107 108 8 5.7070 -2.9963 -2.3015 5.9382 -3.1675 -2.2367 0.0517 0.2949 238.0000 23.8000 0.0000 18.0000 2.0000 
4 109 9 1.6264 1.0889 -3.4287 1.4565 0.8101 -4.3696 0.0471 0.9959 238.0000 23.8000 0.0000 7.7634 2.0000 
109 110 9 1.4565 0.8101 -4.3696 1.2886 0.5320 -5.3153 0.0471 1.0000 238.0000 23.8000 0.0000 9.3464 2.0000 
110 111 9 1.2886 0.5320 -5.3153 1.0827 0.2635 -6.2562 0.0471 0.9999 238.0000 23.8000 0.0000 11.1552 2.0000 
111 112 9 1.0827 0.2635 -6.2562 0.8381 0.0261 -7.1960 0.0471 0.9997 238.0000 23.8000 0.0000 13.2631 2.0000 
112 113 9 0.8381 0.0261 -7.1960 0.5963 -0.1894 -8.1402 0.0471 0.9982 238.0000 23.8000 0.0000 15.7895 2.0000 
113 114 9 0.5963 -0.1894 -8.1402 0.3638 -0.3804 -8.8013 0.0471 0.7263 238.0000 23.8000 0.0000 18.0000 2.0000 
5 115 10 1.9974 1.3251 -3.5382 1.5815 1.9160 -4.2290 0.0474 0.9998 238.0000 23.8000 0.0000 7.9228 2.0000 
115 116 10 1.5815 1.9160 -4.2290 1.1406 2.4836 -4.9243 0.0474 0.9999 238.0000 23.8000 0.0000 9.4774 2.0000 
116 117 10 1.1406 2.4836 -4.9243 0.7203 3.0770 -5.6102 0.0474 0.9997 238.0000 23.8000 0.0000 11.2250 2.0000 
117 118 10 0.7203 3.0770 -5.6102 0.2589 3.6776 -6.2632 0.0474 0.9999 238.0000 23.8000 0.0000 13.2207 2.0000 
118 119 10 0.2589 3.6776 -6.2632 -0.2068 4.2888 -6.9028 0.0474 0.9998 238.0000 23.8000 0.0000 15.5474 2.0000 
119 120 10 -0.2068 4.2888 -6.9028 -0.6369 4.8177 -7.4754 0.0474 0.8903 238.0000 23.8000 0.0000 18.0000 2.0000 
6 121 11 2.4665 1.6466 -3.6967 2.9680 1.6154 -2.8322 0.0433 0.9999 238.0000 23.8000 0.0000 8.1595 2.0000 
121 122 11 2.9680 1.6154 -2.8322 3.5185 1.5794 -1.9999 0.0433 0.9985 238.0000 23.8000 0.0000 9.7795 2.0000 
122 123 11 3.5185 1.5794 -1.9999 4.0367 1.5344 -1.1462 0.0433 0.9997 238.0000 23.8000 0.0000 11.6693 2.0000 
123 124 11 4.0367 1.5344 -1.1462 4.6266 1.5415 -0.3435 0.0433 0.9962 238.0000 23.8000 0.0000 13.9432 2.0000 
124 125 11 4.6266 1.5415 -0.3435 5.1758 1.5456 0.4907 0.0433 0.9988 238.0000 23.8000 0.0000 16.7779 2.0000 
125 126 11 5.1758 1.5456 0.4907 5.3614 1.5555 0.7992 0.0433 0.3601 238.0000 23.8000 0.0000 18.0000 2.0000 
7 127 12 2.8982 1.8806 -3.8706 2.3622 2.6421 -3.5077 0.0487 0.9995 238.0000 23.8000 0.0000 8.3361 2.0000 
127 128 12 2.3622 2.6421 -3.5077 1.8081 3.3898 -3.1423 0.0487 0.9997 238.0000 23.8000 0.0000 9.8943 2.0000 
128 129 12 1.8081 3.3898 -3.1423 1.2219 4.1174 -2.7867 0.0487 0.9997 238.0000 23.8000 0.0000 11.6488 2.0000 
129 130 12 1.2219 4.1174 -2.7867 0.6412 4.8429 -2.4253 0.0487 0.9971 238.0000 23.8000 0.0000 13.6582 2.0000 
130 131 12 0.6412 4.8429 -2.4253 0.0599 5.5728 -2.0704 0.0487 0.9983 238.0000 23.8000 0.0000 16.0000 2.0000 
131 132 12 0.0599 5.5728 -2.0704 -0.2900 6.1394 -1.7823 0.0487 0.7256 238.0000 23.8000 0.0000 18.0000 2.0000 
8 133 13 3.3066 2.1301 -4.0203 3.9340 1.6060 -3.4493 0.0397 0.9972 238.0000 23.8000 0.0000 8.5347 2.0000 
133 134 13 3.9340 1.6060 -3.4493 4.5646 1.0846 -2.8746 0.0397 0.9999 238.0000 23.8000 0.0000 10.1367 2.0000 
134 135 13 4.5646 1.0846 -2.8746 5.1849 0.5834 -2.2720 0.0397 0.9996 238.0000 23.8000 0.0000 11.9853 2.0000 
135 136 13 5.1849 0.5834 -2.2720 5.7826 0.0759 -1.6515 0.0397 0.9998 238.0000 23.8000 0.0000 14.1743 2.0000 
136 137 13 5.7826 0.0759 -1.6515 6.3945 -0.4441 -1.0560 0.0397 0.9998 238.0000 23.8000 0.0000 16.8506 2.0000 
137 138 13 6.3945 -0.4441 -1.0560 6.6154 -0.6400 -0.8397 0.0397 0.3660 238.0000 23.8000 0.0000 18.0000 2.0000 
9 139 14 3.7074 2.3762 -4.1608 4.1938 1.8145 -3.4927 0.0598 0.9992 238.0000 23.8000 0.0000 8.7173 2.0000 
139 140 14 4.1938 1.8145 -3.4927 4.7161 1.2631 -2.8427 0.0598 0.9997 238.0000 23.8000 0.0000 10.3158 2.0000 
140 141 14 4.7161 1.2631 -2.8427 5.2182 0.7252 -2.1656 0.0598 1.0000 238.0000 23.8000 0.0000 12.1574 2.0000 
141 142 14 5.2182 0.7252 -2.1656 5.7291 0.1975 -1.4876 0.0598 0.9996 238.0000 23.8000 0.0000 14.3294 2.0000 
142 143 14 5.7291 0.1975 -1.4876 6.2239 -0.3455 -0.8119 0.0598 0.9981 238.0000 23.8000 0.0000 16.9741 2.0000 
143 144 14 6.2239 -0.3455 -0.8119 6.3879 -0.5256 -0.5848 0.0598 0.3330 238.0000 23.8000 0.0000 18.0000 2.0000 
10 145 15 4.1217 2.6480 -4.3446 3.8861 2.5218 -5.3078 0.0555 0.9996 238.0000 23.8000 0.0000 8.9078 2.0000 
145 146 15 3.8861 2.5218 -5.3078 3.6815 2.3688 -6.2740 0.0555 0.9994 238.0000 23.8000 0.0000 10.4775 2.0000 
146 147 15 3.6815 2.3688 -6.2740 3.4873 2.2204 -7.2427 0.0555 0.9990 238.0000 23.8000 0.0000 12.2577 2.0000 
147 148 15 3.4873 2.2204 -7.2427 3.2474 2.1017 -8.2059 0.0555 0.9997 238.0000 23.8000 0.0000 14.3104 2.0000 
